image,success_rate
test_images\test1.jpg,10.714285714285714
test_images\test10.jpg,19.642857142857142
test_images\test11.jpg,89.28571428571429
test_images\test12.jpg,30.357142857142854
test_images\test13.jpg,8.928571428571429
test_images\test14.jpg,1.7857142857142856
test_images\test15.jpg,3.571428571428571
test_images\test16.jpg,0.0
test_images\test17.jpg,100.0
test_images\test18.jpg,1.7857142857142856
test_images\test19.jpg,3.571428571428571
test_images\test2.jpg,67.85714285714286
test_images\test20.jpg,3.571428571428571
test_images\test21.jpg,3.571428571428571
test_images\test22.jpg,3.571428571428571
test_images\test23.jpg,3.571428571428571
test_images\test24.jpg,0.0
test_images\test3.jpg,62.5
test_images\test4.jpg,85.71428571428571
test_images\test5.jpg,26.785714285714285
test_images\test6.jpg,41.07142857142857
test_images\test7.jpg,78.57142857142857
test_images\test8.jpg,42.857142857142854
test_images\test9.jpg,73.21428571428571
